Farmer yield analysis,,,,,,,,,,,,,,"Coffee form conversion ratios to green coffee (ie., 6.25 kilograms of cherry is equivalent to 1 kilogram of green)",,,,,,,,,,,
,,,,,,,,,,,,,,,Cherry,Dry Cherry,Wet Parchment,Dry Parchment,Green,,,,,,
Region,Coffee farm size (hectares),Coffee form sold,Main Harvest Cherry Production,Second Harvest Cherry Production,Cherry Production Unit,Main Harvest Wet Parchment Production,Second Harvest Wet Parchment Production,Wet Parchment Production Unit,Main Harvest Dry Parchment Production,Second Harvest Dry Parchment Production,Dry Parchment Production Unit,Yield (kg green per hectare),,Green Coffee,6.25,2,2.22,1.25,1,,,,,,
antioquia1,0.32,cherry,1,0.5,carga_125,,,,,,,93.75,,,,,,,,,,,,,
antioquia1,2.5,cherry,2500,1250,kilo,,,,,,,240,,"Coffee production unit conversion ratios to kilograms (ie., 1 carga is equivalent to 125 kilograms)",,,,,,,,,,,
antioquia1,0.08,dry_parchment,,,,,,,1,,carga_125,1250,,,kilo,carga_125,arroba_12_5,,,,,,,,
antioquia1,0.1,dry_parchment,,,,,,,10,2,arroba_12_5,1200,,Kilogram,1,125,12.5,,,,,,,,
antioquia1,0.16,dry_parchment,,,,,,,120,60,kilo,,,,,,,,,,,,,,
antioquia1,0.192,dry_parchment,,,,,,,1,3,carga_125,,,,,,,,,,,,,,
antioquia1,0.25,dry_parchment,,,,,,,5,,carga_125,,,,,,,,,,,,,,
antioquia1,0.5,dry_parchment,,,,,,,4,2,carga_125,,,,,,,,,,,,,,
antioquia1,0.5,dry_parchment,,,,,,,58,,kilo,,,,,,,,,,,,,,
antioquia1,0.64,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
antioquia1,0.64,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
antioquia1,0.64,dry_parchment,,,,,,,3,2,carga_125,,,,,,,,,,,,,,
antioquia1,0.64,dry_parchment,,,,,,,4,,carga_125,,,,,,,,,,,,,,
antioquia1,0.64,dry_parchment,,,,,,,5,1,carga_125,,,,,,,,,,,,,,
antioquia1,0.7,dry_parchment,,,,,,,30,20,arroba_12_5,,,,,,,,,,,,,,
antioquia1,0.96,dry_parchment,,,,,,,2,4,carga_125,,,,,,,,,,,,,,
antioquia1,0.96,dry_parchment,,,,,,,17,1,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,4,2,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,6,2,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,6,2,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,6,3,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,7,2,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,7,,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,12,3,carga_125,,,,,,,,,,,,,,
antioquia1,1,dry_parchment,,,,,,,15,,carga_125,,,,,,,,,,,,,,
antioquia1,1.1,dry_parchment,,,,,,,9,4,carga_125,,,,,,,,,,,,,,
antioquia1,1.25,dry_parchment,,,,,,,5,2,carga_125,,,,,,,,,,,,,,
antioquia1,1.25,dry_parchment,,,,,,,12,,carga_125,,,,,,,,,,,,,,
antioquia1,1.28,dry_parchment,,,,,,,6,2,carga_125,,,,,,,,,,,,,,
antioquia1,1.28,dry_parchment,,,,,,,15,2,carga_125,,,,,,,,,,,,,,
antioquia1,1.28,dry_parchment,,,,,,,18,7,carga_125,,,,,,,,,,,,,,
antioquia1,1.45,dry_parchment,,,,,,,2,1,carga_125,,,,,,,,,,,,,,
antioquia1,1.5,dry_parchment,,,,,,,3,2,carga_125,,,,,,,,,,,,,,
antioquia1,1.5,dry_parchment,,,,,,,9,,carga_125,,,,,,,,,,,,,,
antioquia1,1.5,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
antioquia1,1.5,dry_parchment,,,,,,,10,,carga_125,,,,,,,,,,,,,,
antioquia1,1.5,dry_parchment,,,,,,,20,6,carga_125,,,,,,,,,,,,,,
antioquia1,1.5,dry_parchment,,,,,,,80,40,kilo,,,,,,,,,,,,,,
antioquia1,1.6,dry_parchment,,,,,,,17,3,carga_125,,,,,,,,,,,,,,
antioquia1,1.8,dry_parchment,,,,,,,10,6,carga_125,,,,,,,,,,,,,,
antioquia1,1.8,dry_parchment,,,,,,,12,8,carga_125,,,,,,,,,,,,,,
antioquia1,1.92,dry_parchment,,,,,,,4,1,carga_125,,,,,,,,,,,,,,
antioquia1,1.92,dry_parchment,,,,,,,8,3,carga_125,,,,,,,,,,,,,,
antioquia1,1.92,dry_parchment,,,,,,,36,2,carga_125,,,,,,,,,,,,,,
antioquia1,2,dry_parchment,,,,,,,2,,carga_125,,,,,,,,,,,,,,
antioquia1,2,dry_parchment,,,,,,,4,2,carga_125,,,,,,,,,,,,,,
antioquia1,2,dry_parchment,,,,,,,10,,carga_125,,,,,,,,,,,,,,
antioquia1,2,dry_parchment,,,,,,,14,4,carga_125,,,,,,,,,,,,,,
antioquia1,2,dry_parchment,,,,,,,30,5,carga_125,,,,,,,,,,,,,,
antioquia1,2,dry_parchment,,,,,,,30,,carga_125,,,,,,,,,,,,,,
antioquia1,2.24,dry_parchment,,,,,,,8,2,carga_125,,,,,,,,,,,,,,
antioquia1,2.5,dry_parchment,,,,,,,5,5,carga_125,,,,,,,,,,,,,,
antioquia1,2.5,dry_parchment,,,,,,,16,7,carga_125,,,,,,,,,,,,,,
antioquia1,2.5,dry_parchment,,,,,,,35,10,carga_125,,,,,,,,,,,,,,
antioquia1,2.56,dry_parchment,,,,,,,21,11,carga_125,,,,,,,,,,,,,,
antioquia1,2.56,dry_parchment,,,,,,,35,1,carga_125,,,,,,,,,,,,,,
antioquia1,2.75,dry_parchment,,,,,,,30,12,carga_125,,,,,,,,,,,,,,
antioquia1,3,dry_parchment,,,,,,,18,6,carga_125,,,,,,,,,,,,,,
antioquia1,3,dry_parchment,,,,,,,20,7,carga_125,,,,,,,,,,,,,,
antioquia1,3,dry_parchment,,,,,,,22,8,carga_125,,,,,,,,,,,,,,
antioquia1,3,dry_parchment,,,,,,,25,5,carga_125,,,,,,,,,,,,,,
antioquia1,3.2,dry_parchment,,,,,,,15,3,carga_125,,,,,,,,,,,,,,
antioquia1,3.2,dry_parchment,,,,,,,50,10,carga_125,,,,,,,,,,,,,,
antioquia1,3.2,dry_parchment,,,,,,,60,,carga_125,,,,,,,,,,,,,,
antioquia1,3.3333,dry_parchment,,,,,,,40,7,carga_125,,,,,,,,,,,,,,
antioquia1,3.5,dry_parchment,,,,,,,20,12,carga_125,,,,,,,,,,,,,,
antioquia1,3.5,dry_parchment,,,,,,,36,20,carga_125,,,,,,,,,,,,,,
antioquia1,3.8,dry_parchment,,,,,,,35,7,carga_125,,,,,,,,,,,,,,
antioquia1,3.84,dry_parchment,,,,,,,27,,carga_125,,,,,,,,,,,,,,
antioquia1,4,dry_parchment,,,,,,,48,25,carga_125,,,,,,,,,,,,,,
antioquia1,4,dry_parchment,,,,,,,7800,6400,kilo,,,,,,,,,,,,,,
antioquia1,4.48,dry_parchment,,,,,,,46,2,carga_125,,,,,,,,,,,,,,
antioquia1,4.5,dry_parchment,,,,,,,15,6,carga_125,,,,,,,,,,,,,,
antioquia1,5,dry_parchment,,,,,,,48,12,carga_125,,,,,,,,,,,,,,
antioquia1,5.12,dry_parchment,,,,,,,15,4,carga_125,,,,,,,,,,,,,,
antioquia1,5.5,dry_parchment,,,,,,,43,,carga_125,,,,,,,,,,,,,,
antioquia1,5.5,dry_parchment,,,,,,,62,27,carga_125,,,,,,,,,,,,,,
antioquia1,5.76,dry_parchment,,,,,,,12,18,carga_125,,,,,,,,,,,,,,
antioquia1,5.9,dry_parchment,,,,,,,30,10,carga_125,,,,,,,,,,,,,,
antioquia1,6,dry_parchment,,,,,,,25,3,carga_125,,,,,,,,,,,,,,
antioquia1,6.4,dry_parchment,,,,,,,20,5,carga_125,,,,,,,,,,,,,,
antioquia1,6.4,dry_parchment,,,,,,,60,20,carga_125,,,,,,,,,,,,,,
antioquia1,6.4,dry_parchment,,,,,,,65,,carga_125,,,,,,,,,,,,,,
antioquia1,6.5,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
antioquia1,6.5,dry_parchment,,,,,,,60,12,carga_125,,,,,,,,,,,,,,
antioquia1,7,dry_parchment,,,,,,,35,10,carga_125,,,,,,,,,,,,,,
antioquia1,7,dry_parchment,,,,,,,40,5,carga_125,,,,,,,,,,,,,,
antioquia1,7,dry_parchment,,,,,,,980,450,arroba_12_5,,,,,,,,,,,,,,
antioquia1,8,dry_parchment,,,,,,,68,17,carga_125,,,,,,,,,,,,,,
antioquia1,8.5,dry_parchment,,,,,,,100,45,carga_125,,,,,,,,,,,,,,
antioquia1,12.8,dry_parchment,,,,,,,450,100,arroba_12_5,,,,,,,,,,,,,,
antioquia1,17.92,dry_parchment,,,,,,,250,20,carga_125,,,,,,,,,,,,,,
antioquia1,19.2,dry_parchment,,,,,,,80,,carga_125,,,,,,,,,,,,,,
antioquia1,22,dry_parchment,,,,,,,200,20,carga_125,,,,,,,,,,,,,,
antioquia1,35,dry_parchment,,,,,,,5600,900,arroba_12_5,,,,,,,,,,,,,,
antioquia1,38.4,dry_parchment,,,,,,,50000,27600,kilo,,,,,,,,,,,,,,
antioquia1,50,dry_parchment,,,,,,,1000,200,carga_125,,,,,,,,,,,,,,
antioquia1,51,dry_parchment,,,,,,,60000,6000,kilo,,,,,,,,,,,,,,
antioquia1,120,dry_parchment,,,,,,,5000,1500,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,1.12,cherry,4000,500,kilo,,,,,,,,,,,,,,,,,,,,
cundinamarca1,2.24,cherry,1500,300,kilo,,,,,,,,,,,,,,,,,,,,
cundinamarca1,0.045,dry_parchment,,,,,,,30,15,kilo,,,,,,,,,,,,,,
cundinamarca1,0.06,dry_parchment,,,,,,,5,,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.0667,dry_parchment,,,,,,,2,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.09,dry_parchment,,,,,,,30,,kilo,,,,,,,,,,,,,,
cundinamarca1,0.1,dry_parchment,,,,,,,180,,kilo,,,,,,,,,,,,,,
cundinamarca1,0.17,dry_parchment,,,,,,,12,8,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.23,dry_parchment,,,,,,,3,2,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.24,dry_parchment,,,,,,,80,40,kilo,,,,,,,,,,,,,,
cundinamarca1,0.29,dry_parchment,,,,,,,8,2,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.35,dry_parchment,,,,,,,1,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.45,dry_parchment,,,,,,,15,,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,0.5,dry_parchment,,,,,,,1.5,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.5,dry_parchment,,,,,,,3,2,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.64,dry_parchment,,,,,,,1,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.64,dry_parchment,,,,,,,2.5,0.5,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.64,dry_parchment,,,,,,,250,65,kilo,,,,,,,,,,,,,,
cundinamarca1,0.675,dry_parchment,,,,,,,1,,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.96,dry_parchment,,,,,,,3.5,0.5,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.96,dry_parchment,,,,,,,4,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.96,dry_parchment,,,,,,,4,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,1,dry_parchment,,,,,,,4,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1,dry_parchment,,,,,,,13,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1,dry_parchment,,,,,,,62.5,15,kilo,,,,,,,,,,,,,,
cundinamarca1,1.28,dry_parchment,,,,,,,1.5,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.28,dry_parchment,,,,,,,3,8,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.5,dry_parchment,,,,,,,6,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.5,dry_parchment,,,,,,,6,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.6,dry_parchment,,,,,,,8,1,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.8,dry_parchment,,,,,,,15,7,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,1.92,dry_parchment,,,,,,,4,,carga_125,,,,,,,,,,,,,,
cundinamarca1,1.92,dry_parchment,,,,,,,30,2,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,4,190,carga_125,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,10,1875,carga_125,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,15,8,carga_125,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,90,60,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,2,dry_parchment,,,,,,,120,50,arroba_12_5,,,,,,,,,,,,,,
cundinamarca1,2.2,dry_parchment,,,,,,,2,80,carga_125,,,,,,,,,,,,,,
cundinamarca1,2.5,dry_parchment,,,,,,,1.5,0.5,carga_125,,,,,,,,,,,,,,
cundinamarca1,2.56,dry_parchment,,,,,,,1,3,carga_125,,,,,,,,,,,,,,
cundinamarca1,2.56,dry_parchment,,,,,,,25,3,carga_125,,,,,,,,,,,,,,
cundinamarca1,3.2,dry_parchment,,,,,,,3,2,carga_125,,,,,,,,,,,,,,
cundinamarca1,3.2,dry_parchment,,,,,,,15,4,carga_125,,,,,,,,,,,,,,
cundinamarca1,3.8,dry_parchment,,,,,,,25,5,carga_125,,,,,,,,,,,,,,
cundinamarca1,4,dry_parchment,,,,,,,9,2,carga_125,,,,,,,,,,,,,,
cundinamarca1,6.4,dry_parchment,,,,,,,10000,5000,kilo,,,,,,,,,,,,,,
cundinamarca1,7,dry_parchment,,,,,,,50,3,carga_125,,,,,,,,,,,,,,
cundinamarca1,0.024,wet_parchment,,,,60,16,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.036,wet_parchment,,,,5,,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.078,wet_parchment,,,,2,60,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.1,wet_parchment,,,,60,15,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.21,wet_parchment,,,,15,6,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.32,wet_parchment,,,,1,50,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.32,wet_parchment,,,,1.5,0.5,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.32,wet_parchment,,,,300,96,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.35,wet_parchment,,,,1.5,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.39,wet_parchment,,,,6,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.43,wet_parchment,,,,200,40,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.5,wet_parchment,,,,2,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.5,wet_parchment,,,,700,,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.54,wet_parchment,,,,6,2,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.6,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.6,wet_parchment,,,,60,40,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,3,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,20,2,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,25,8,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,0.64,wet_parchment,,,,62.5,35,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.68,wet_parchment,,,,1118,,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,0.7778,wet_parchment,,,,50,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.81,wet_parchment,,,,8,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.96,wet_parchment,,,,1,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.96,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,0.96,wet_parchment,,,,650,180,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1,wet_parchment,,,,5,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1,wet_parchment,,,,7,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1,wet_parchment,,,,313,,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.13,wet_parchment,,,,5,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.28,wet_parchment,,,,4,5,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.28,wet_parchment,,,,4,600,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.28,wet_parchment,,,,1600,400,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.344,wet_parchment,,,,15,4,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.35,wet_parchment,,,,20,10,arroba_12_5,,,,,,,,,,,,,,,,,
cundinamarca1,1.5,wet_parchment,,,,7,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.5,wet_parchment,,,,10,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.6,wet_parchment,,,,1300,800,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.792,wet_parchment,,,,10,8,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.9,wet_parchment,,,,8,4,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,5,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,30,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,900,200,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,1600,300,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,1.92,wet_parchment,,,,1900,300,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,2,wet_parchment,,,,2,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.24,wet_parchment,,,,20,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.25,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.56,wet_parchment,,,,15,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,2.56,wet_parchment,,,,210,50,kilo,,,,,,,,,,,,,,,,,
cundinamarca1,3,wet_parchment,,,,20,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3,wet_parchment,,,,35,16,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.2,wet_parchment,,,,10,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.2,wet_parchment,,,,16,,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.2,wet_parchment,,,,30,3,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,3.5,wet_parchment,,,,30,20,carga_125,,,,,,,,,,,,,,,,,
cundinamarca1,5,wet_parchment,,,,60,2,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,0.05,dry_parchment,,,,,,,3,1,arroba_12_5,,,,,,,,,,,,,,
