Farmer yield analysis,,,,,,,,,,,,,,"Coffee form conversion ratios to green coffee (ie., 6.25 kilograms of cherry is equivalent to 1 kilogram of green)",,,,,,,,,,,
ejecafetero1,0.3,dry_parchment,,,,,,,1,,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.3,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.42,dry_parchment,,,,,,,8,,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.48,dry_parchment,,,,,,,6,18,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.5,dry_parchment,,,,,,,2,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.5,dry_parchment,,,,,,,5,3,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,1,,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,2,1,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,3,,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.64,dry_parchment,,,,,,,8,3,kilo,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,3,1,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,5,2,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,10,8,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,30,10,carga_125,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,30,14,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,70,30,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,80,30,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1,dry_parchment,,,,,,,1200,800,kilo,,,,,,,,,,,,,,
ejecafetero1,1.28,dry_parchment,,,,,,,1,2,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.28,dry_parchment,,,,,,,9,4,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.28,dry_parchment,,,,,,,50,,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1.5,dry_parchment,,,,,,,20,8,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.6,dry_parchment,,,,,,,2,,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,4,1.5,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,6,4,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,17,6,carga_125,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,50,15,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,1.92,dry_parchment,,,,,,,60,30,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,2,dry_parchment,,,,,,,15,8,carga_125,,,,,,,,,,,,,,
ejecafetero1,2,dry_parchment,,,,,,,30,15,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.5,dry_parchment,,,,,,,6,3,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.5,dry_parchment,,,,,,,8,4,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.56,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero1,2.56,dry_parchment,,,,,,,300,150,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,3,dry_parchment,,,,,,,10,3,carga_125,,,,,,,,,,,,,,
ejecafetero1,3,dry_parchment,,,,,,,20,3,carga_125,,,,,,,,,,,,,,
ejecafetero1,3,dry_parchment,,,,,,,50,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,4,dry_parchment,,,,,,,20,10,carga_125,,,,,,,,,,,,,,
ejecafetero1,4.48,dry_parchment,,,,,,,30,15,carga_125,,,,,,,,,,,,,,
ejecafetero1,4.48,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,5,dry_parchment,,,,,,,120,80,carga_125,,,,,,,,,,,,,,
ejecafetero1,5,dry_parchment,,,,,,,400,5,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,5.12,dry_parchment,,,,,,,9,6,carga_125,,,,,,,,,,,,,,
ejecafetero1,6,dry_parchment,,,,,,,770,330,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,6.4,dry_parchment,,,,,,,70,30,carga_125,,,,,,,,,,,,,,
ejecafetero1,6.4,dry_parchment,,,,,,,150,100,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,6.4,dry_parchment,,,,,,,500,200,arroba_12_5,,,,,,,,,,,,,,
ejecafetero1,8,dry_parchment,,,,,,,70,35,carga_125,,,,,,,,,,,,,,
ejecafetero1,8.96,dry_parchment,,,,,,,8,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,10.88,dry_parchment,,,,,,,50,15,carga_125,,,,,,,,,,,,,,
ejecafetero1,19.2,dry_parchment,,,,,,,37679,18839,kilo,,,,,,,,,,,,,,
ejecafetero1,22,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
ejecafetero1,0.19,wet_parchment,,,,6,3,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.2,wet_parchment,,,,20,10,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.3,wet_parchment,,,,3,1,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.32,wet_parchment,,,,4,,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.64,wet_parchment,,,,2,,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,0.64,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,0.64,wet_parchment,,,,5,,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,1,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,1,wet_parchment,,,,3,1,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,1,wet_parchment,,,,5,2,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,1,wet_parchment,,,,15,12,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,1.28,wet_parchment,,,,400,150,kilo,,,,,,,,,,,,,,,,,
ejecafetero1,1.6,wet_parchment,,,,7,3,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,1.6,wet_parchment,,,,20,8,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,1.92,wet_parchment,,,,4,2,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,1.92,wet_parchment,,,,5,2,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,1.92,wet_parchment,,,,50,30,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,1.92,wet_parchment,,,,70,40,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,2,wet_parchment,,,,2,3,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,2,wet_parchment,,,,6,2,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,2,wet_parchment,,,,50,20,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,2.24,wet_parchment,,,,1.5,3,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,2.56,wet_parchment,,,,1,8,kilo,,,,,,,,,,,,,,,,,
ejecafetero1,2.56,wet_parchment,,,,50,25,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,2.56,wet_parchment,,,,1300,700,kilo,,,,,,,,,,,,,,,,,
ejecafetero1,3.2,wet_parchment,,,,35,15,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,3.84,wet_parchment,,,,60,50,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,4,wet_parchment,,,,8,4,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,4,wet_parchment,,,,80,40,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,4.48,wet_parchment,,,,14,12,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,5.12,wet_parchment,,,,200,100,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,6,wet_parchment,,,,100,500,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,7,wet_parchment,,,,20,15,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,7.68,wet_parchment,,,,5,2,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,8,wet_parchment,,,,140,60,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,9.6,wet_parchment,,,,120,50,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,11.52,wet_parchment,,,,7000,4000,kilo,,,,,,,,,,,,,,,,,
ejecafetero1,14.08,wet_parchment,,,,50,25,carga_125,,,,,,,,,,,,,,,,,
ejecafetero1,16,wet_parchment,,,,7000,4000,kilo,,,,,,,,,,,,,,,,,
ejecafetero1,39.68,wet_parchment,,,,6062,4000,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero1,104.4444,wet_parchment,,,,80,41,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero2,4,cherry,112,56,carga_125,,,,,,,,,,,,,,,,,,,,
ejecafetero2,0.32,dry_parchment,,,,,,,4,,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,0.5,dry_parchment,,,,,,,1,2,carga_125,,,,,,,,,,,,,,
ejecafetero2,0.5,dry_parchment,,,,,,,2,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,0.512,dry_parchment,,,,,,,25,1,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,0.6,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,0.6,dry_parchment,,,,,,,10,40,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,0.64,dry_parchment,,,,,,,2,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,0.64,dry_parchment,,,,,,,3,1,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,0.64,dry_parchment,,,,,,,10,4,carga_125,,,,,,,,,,,,,,
ejecafetero2,0.68,dry_parchment,,,,,,,7,4,carga_125,,,,,,,,,,,,,,
ejecafetero2,0.8,dry_parchment,,,,,,,8,6,carga_125,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,2,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,4.5,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,6,3,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,8,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,8.5,3,carga_125,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,19,8,carga_125,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,24,12,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,625,300,kilo,,,,,,,,,,,,,,
ejecafetero2,1,dry_parchment,,,,,,,625,312,kilo,,,,,,,,,,,,,,
ejecafetero2,1.152,dry_parchment,,,,,,,6,2,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.152,dry_parchment,,,,,,,15,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.2,dry_parchment,,,,,,,90,40,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,1.28,dry_parchment,,,,,,,1,2,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.28,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.28,dry_parchment,,,,,,,6,3,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.28,dry_parchment,,,,,,,9,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.28,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.28,dry_parchment,,,,,,,13,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.5,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.5,dry_parchment,,,,,,,8,4,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.5,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.5,dry_parchment,,,,,,,30,12,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,1.5,dry_parchment,,,,,,,65,30,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,1.7,dry_parchment,,,,,,,10,4,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.8,dry_parchment,,,,,,,3,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.8,dry_parchment,,,,,,,18,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.8889,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.9,dry_parchment,,,,,,,30,13,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.92,dry_parchment,,,,,,,1,2,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.92,dry_parchment,,,,,,,5,2,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.92,dry_parchment,,,,,,,6,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.92,dry_parchment,,,,,,,8,4,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.92,dry_parchment,,,,,,,15,4,carga_125,,,,,,,,,,,,,,
ejecafetero2,1.92,dry_parchment,,,,,,,50,20,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,2,dry_parchment,,,,,,,1.5,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,2,dry_parchment,,,,,,,4,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,2,dry_parchment,,,,,,,6,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,2,dry_parchment,,,,,,,7,7,carga_125,,,,,,,,,,,,,,
ejecafetero2,2,dry_parchment,,,,,,,20,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,2,dry_parchment,,,,,,,80,46,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,2,dry_parchment,,,,,,,250,120,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,2.048,dry_parchment,,,,,,,200,100,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,2.56,dry_parchment,,,,,,,10,,carga_125,,,,,,,,,,,,,,
ejecafetero2,2.7,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,2.88,dry_parchment,,,,,,,15,,carga_125,,,,,,,,,,,,,,
ejecafetero2,2.9,dry_parchment,,,,,,,30,13,carga_125,,,,,,,,,,,,,,
ejecafetero2,3,dry_parchment,,,,,,,2,2,carga_125,,,,,,,,,,,,,,
ejecafetero2,3,dry_parchment,,,,,,,15,,carga_125,,,,,,,,,,,,,,
ejecafetero2,3,dry_parchment,,,,,,,30,15,carga_125,,,,,,,,,,,,,,
ejecafetero2,3,dry_parchment,,,,,,,80,40,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,3.2,dry_parchment,,,,,,,6,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,3.2,dry_parchment,,,,,,,20,8,carga_125,,,,,,,,,,,,,,
ejecafetero2,3.2,dry_parchment,,,,,,,680,120,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,3.51,dry_parchment,,,,,,,20,6,carga_125,,,,,,,,,,,,,,
ejecafetero2,3.6,dry_parchment,,,,,,,60,50,carga_125,,,,,,,,,,,,,,
ejecafetero2,3.84,dry_parchment,,,,,,,45,40,carga_125,,,,,,,,,,,,,,
ejecafetero2,4,dry_parchment,,,,,,,5,6,carga_125,,,,,,,,,,,,,,
ejecafetero2,4,dry_parchment,,,,,,,11,,carga_125,,,,,,,,,,,,,,
ejecafetero2,4,dry_parchment,,,,,,,30,20,carga_125,,,,,,,,,,,,,,
ejecafetero2,4,dry_parchment,,,,,,,40,10,carga_125,,,,,,,,,,,,,,
ejecafetero2,4,dry_parchment,,,,,,,40,70,carga_125,,,,,,,,,,,,,,
ejecafetero2,4,dry_parchment,,,,,,,200,100,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,4.45,dry_parchment,,,,,,,45,60,carga_125,,,,,,,,,,,,,,
ejecafetero2,4.48,dry_parchment,,,,,,,250,250,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,5,dry_parchment,,,,,,,10,3,carga_125,,,,,,,,,,,,,,
ejecafetero2,5,dry_parchment,,,,,,,14,1,carga_125,,,,,,,,,,,,,,
ejecafetero2,5,dry_parchment,,,,,,,20,10,carga_125,,,,,,,,,,,,,,
ejecafetero2,5,dry_parchment,,,,,,,20,13,carga_125,,,,,,,,,,,,,,
ejecafetero2,5,dry_parchment,,,,,,,50,40,carga_125,,,,,,,,,,,,,,
ejecafetero2,5,dry_parchment,,,,,,,80,40,carga_125,,,,,,,,,,,,,,
ejecafetero2,5,dry_parchment,,,,,,,1000,117,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,5.76,dry_parchment,,,,,,,60,30,carga_125,,,,,,,,,,,,,,
ejecafetero2,6,dry_parchment,,,,,,,10,5,carga_125,,,,,,,,,,,,,,
ejecafetero2,6,dry_parchment,,,,,,,80,60,carga_125,,,,,,,,,,,,,,
ejecafetero2,7.68,dry_parchment,,,,,,,30,15,carga_125,,,,,,,,,,,,,,
ejecafetero2,7.68,dry_parchment,,,,,,,90,35,carga_125,,,,,,,,,,,,,,
ejecafetero2,7.68,dry_parchment,,,,,,,800,400,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,8,dry_parchment,,,,,,,50,50,carga_125,,,,,,,,,,,,,,
ejecafetero2,8,dry_parchment,,,,,,,56,31,carga_125,,,,,,,,,,,,,,
ejecafetero2,8,dry_parchment,,,,,,,60,15,carga_125,,,,,,,,,,,,,,
ejecafetero2,8.32,dry_parchment,,,,,,,120,50,carga_125,,,,,,,,,,,,,,
ejecafetero2,8.96,dry_parchment,,,,,,,45,22,carga_125,,,,,,,,,,,,,,
ejecafetero2,9,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
ejecafetero2,10,dry_parchment,,,,,,,30,15,carga_125,,,,,,,,,,,,,,
ejecafetero2,10.24,dry_parchment,,,,,,,1500,600,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,11,dry_parchment,,,,,,,15,6,carga_125,,,,,,,,,,,,,,
ejecafetero2,12,dry_parchment,,,,,,,70,70,carga_125,,,,,,,,,,,,,,
ejecafetero2,12.8,dry_parchment,,,,,,,40,20,carga_125,,,,,,,,,,,,,,
ejecafetero2,13,dry_parchment,,,,,,,400,1200,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,14.08,dry_parchment,,,,,,,1000,600,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,15,dry_parchment,,,,,,,80,60,carga_125,,,,,,,,,,,,,,
ejecafetero2,19,dry_parchment,,,,,,,120,80,carga_125,,,,,,,,,,,,,,
ejecafetero2,19.2,dry_parchment,,,,,,,700,300,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,32,dry_parchment,,,,,,,2500,1500,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,35,dry_parchment,,,,,,,5000,2000,arroba_12_5,,,,,,,,,,,,,,
ejecafetero2,100,dry_parchment,,,,,,,540,240,carga_125,,,,,,,,,,,,,,
ejecafetero2,0.64,wet_parchment,,,,11,11,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero2,1.28,wet_parchment,,,,40,19,arroba_12_5,,,,,,,,,,,,,,,,,
ejecafetero2,1.92,wet_parchment,,,,25,12,carga_125,,,,,,,,,,,,,,,,,
ejecafetero2,2,wet_parchment,,,,10,7,carga_125,,,,,,,,,,,,,,,,,
ejecafetero2,2,wet_parchment,,,,15,7,carga_125,,,,,,,,,,,,,,,,,
ejecafetero2,4,wet_parchment,,,,3,4,carga_125,,,,,,,,,,,,,,,,,
ejecafetero2,6.7,wet_parchment,,,,200,120,carga_125,,,,,,,,,,,,,,,,,
ejecafetero2,8.32,wet_parchment,,,,80,40,carga_125,,,,,,,,,,,,,,,,,